family,prompt_id,requested_b,realised_r,signed_error,context_tokens,compress_ms,backend,backend_version,model_version,tokenizer
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.8,0.7269385026737968,-0.07306149732620326,2992,299.75104102049954,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.65,0.5792112299465241,-0.07078877005347595,2992,298.78258297685534,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.5,0.44184491978609625,-0.058155080213903754,2992,302.1980000194162,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.4,0.3502673796791444,-0.049732620320855625,2992,308.8388330070302,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.3,0.26036096256684493,-0.039639037433155055,2992,309.51129100867547,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-420ce59c7a0c084e938dd69dfacf59f61ac3ebbd237780c8,0.2,0.1711229946524064,-0.028877005347593604,2992,308.74412500998005,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.8,0.7269385026737968,-0.07306149732620326,2992,315.4189999913797,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.65,0.5792112299465241,-0.07078877005347595,2992,312.0624589791987,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.5,0.44184491978609625,-0.058155080213903754,2992,312.2375840030145,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.4,0.3502673796791444,-0.049732620320855625,2992,311.8186249921564,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.3,0.26036096256684493,-0.039639037433155055,2992,310.44266698881984,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-ce720011515773e6bd7b4b355c52a7215ad2920f18a1ec14,0.2,0.1711229946524064,-0.028877005347593604,2992,310.8871669974178,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.8,0.7269385026737968,-0.07306149732620326,2992,317.0782499946654,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.65,0.5792112299465241,-0.07078877005347595,2992,314.2531670164317,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.5,0.44184491978609625,-0.058155080213903754,2992,313.07212499086745,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.4,0.3502673796791444,-0.049732620320855625,2992,321.3625829957891,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.3,0.26036096256684493,-0.039639037433155055,2992,312.68629198893905,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-4c9131da4fb2a9dbc8dadce39d20bdc302a092b5740c414a,0.2,0.1711229946524064,-0.028877005347593604,2992,314.10124999820255,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
multifieldqa_en,multifieldqa_en-a013f691a7063527fa4e7a4b357081c76656af3cd402a27a,0.8,0.7502742230347349,-0.049725776965265145,2735,330.78229101374745,llmlingua2,llmlingua-0.2.2,microsoft/llmlingua-2-bert-base-multilingual-cased-meetingbank@main,gpt2
